Codigo;Provincias;Sexo;Periodo;Total
00;Total;Total;2021;450744
00;Total;Total;2020;493776
00;Total;Total;2019;418703
00;Total;Total;2018;427721
00;Total;Total;2017;424523
00;Total;Total;2016;410611
00;Total;Total;2015;422568
00;Total;Total;2014;395830
00;Total;Total;2013;390419
00;Total;Total;2012;402950
00;Total;Total;2011;387911
00;Total;Total;2010;382047
00;Total;Total;2009;384933
00;Total;Total;2008;386324
00;Total;Total;2007;385361
00;Total;Total;2006;371478
00;Total;Total;2005;387355
00;Total;Total;2004;371934
00;Total;Total;2003;384828
00;Total;Total;2002;368618
00;Total;Total;2001;360131
00;Total;Total;2000;360391
00;Total;Total;1999;371102
00;Total;Total;1998;360511
00;Total;Total;1997;349521
00;Total;Total;1996;351449
00;Total;Total;1995;346227
00;Total;Total;1994;338242
00;Total;Total;1993;339661
00;Total;Total;1992;331515
00;Total;Total;1991;337691
00;Total;Total;1990;333142
00;Total;Total;1989;324796
00;Total;Total;1988;319437
00;Total;Total;1987;310073
00;Total;Total;1986;310413
00;Total;Total;1985;312532
00;Total;Total;1984;299409
00;Total;Total;1983;302569
00;Total;Total;1982;286655
00;Total;Total;1981;293386
00;Total;Total;1980;289344
00;Total;Total;1979;291213
00;Total;Total;1978;296781
00;Total;Total;1977;294324
00;Total;Total;1976;299007
00;Total;Total;1975;298192
00;Total;Hombres;2021;231410
00;Total;Hombres;2020;249664
00;Total;Hombres;2019;212683
00;Total;Hombres;2018;216442
00;Total;Hombres;2017;214236
00;Total;Hombres;2016;208993
00;Total;Hombres;2015;213309
00;Total;Hombres;2014;201571
00;Total;Hombres;2013;199834
00;Total;Hombres;2012;205920
00;Total;Hombres;2011;199854
00;Total;Hombres;2010;198121
00;Total;Hombres;2009;199095
00;Total;Hombres;2008;199647
00;Total;Hombres;2007;201136
00;Total;Hombres;2006;194154
00;Total;Hombres;2005;201769
00;Total;Hombres;2004;194928
00;Total;Hombres;2003;199897
00;Total;Hombres;2002;193269
00;Total;Hombres;2001;189714
00;Total;Hombres;2000;189468
00;Total;Hombres;1999;195255
00;Total;Hombres;1998;190218
00;Total;Hombres;1997;185095
00;Total;Hombres;1996;186901
00;Total;Hombres;1995;184488
00;Total;Hombres;1994;179924
00;Total;Hombres;1993;180512
00;Total;Hombres;1992;177087
00;Total;Hombres;1991;179344
00;Total;Hombres;1990;176779
00;Total;Hombres;1989;172364
00;Total;Hombres;1988;168734
00;Total;Hombres;1987;163891
00;Total;Hombres;1986;162961
00;Total;Hombres;1985;164834
00;Total;Hombres;1984;158515
00;Total;Hombres;1983;158375
00;Total;Hombres;1982;151048
00;Total;Hombres;1981;154437
00;Total;Hombres;1980;152225
00;Total;Hombres;1979;153573
00;Total;Hombres;1978;155541
00;Total;Hombres;1977;153870
00;Total;Hombres;1976;155979
00;Total;Hombres;1975;155471
00;Total;Mujeres;2021;219334
00;Total;Mujeres;2020;244112
00;Total;Mujeres;2019;206020
00;Total;Mujeres;2018;211279
00;Total;Mujeres;2017;210287
00;Total;Mujeres;2016;201618
00;Total;Mujeres;2015;209259
00;Total;Mujeres;2014;194259
00;Total;Mujeres;2013;190585
00;Total;Mujeres;2012;197030
00;Total;Mujeres;2011;188057
00;Total;Mujeres;2010;183926
00;Total;Mujeres;2009;185838
00;Total;Mujeres;2008;186677
00;Total;Mujeres;2007;184225
00;Total;Mujeres;2006;177324
00;Total;Mujeres;2005;185586
00;Total;Mujeres;2004;177006
00;Total;Mujeres;2003;184931
00;Total;Mujeres;2002;175349
00;Total;Mujeres;2001;170417
00;Total;Mujeres;2000;170923
00;Total;Mujeres;1999;175847
00;Total;Mujeres;1998;170293
00;Total;Mujeres;1997;164426
00;Total;Mujeres;1996;164548
00;Total;Mujeres;1995;161739
00;Total;Mujeres;1994;158318
00;Total;Mujeres;1993;159149
00;Total;Mujeres;1992;154428
00;Total;Mujeres;1991;158347
00;Total;Mujeres;1990;156363
00;Total;Mujeres;1989;152432
00;Total;Mujeres;1988;150703
00;Total;Mujeres;1987;146182
00;Total;Mujeres;1986;147452
00;Total;Mujeres;1985;147698
00;Total;Mujeres;1984;140894
00;Total;Mujeres;1983;144194
00;Total;Mujeres;1982;135607
00;Total;Mujeres;1981;138949
00;Total;Mujeres;1980;137119
00;Total;Mujeres;1979;137640
00;Total;Mujeres;1978;141240
00;Total;Mujeres;1977;140454
00;Total;Mujeres;1976;143028
00;Total;Mujeres;1975;142721
02;Albacete;Total;2021;3781
02;Albacete;Total;2020;4868
02;Albacete;Total;2019;3731
02;Albacete;Total;2018;3727
02;Albacete;Total;2017;3736
02;Albacete;Total;2016;3670
02;Albacete;Total;2015;3700
02;Albacete;Total;2014;3720
02;Albacete;Total;2013;3508
02;Albacete;Total;2012;3663
02;Albacete;Total;2011;3454
02;Albacete;Total;2010;3303
02;Albacete;Total;2009;3424
02;Albacete;Total;2008;3413
02;Albacete;Total;2007;3364
02;Albacete;Total;2006;3253
02;Albacete;Total;2005;3344
02;Albacete;Total;2004;3248
02;Albacete;Total;2003;3336
02;Albacete;Total;2002;3152
02;Albacete;Total;2001;3063
02;Albacete;Total;2000;3141
02;Albacete;Total;1999;3069
02;Albacete;Total;1998;3239
02;Albacete;Total;1997;2969
02;Albacete;Total;1996;3124
02;Albacete;Total;1995;2965
02;Albacete;Total;1994;3029
02;Albacete;Total;1993;3163
02;Albacete;Total;1992;3048
02;Albacete;Total;1991;3039
02;Albacete;Total;1990;2666
02;Albacete;Total;1989;2860
02;Albacete;Total;1988;2871
02;Albacete;Total;1987;2860
02;Albacete;Total;1986;2938
02;Albacete;Total;1985;3060
02;Albacete;Total;1984;2903
02;Albacete;Total;1983;2970
02;Albacete;Total;1982;2772
02;Albacete;Total;1981;2976
02;Albacete;Total;1980;3042
02;Albacete;Total;1979;2990
02;Albacete;Total;1978;3064
02;Albacete;Total;1977;3081
02;Albacete;Total;1976;3058
02;Albacete;Total;1975;3154
02;Albacete;Hombres;2021;1999
02;Albacete;Hombres;2020;2472
02;Albacete;Hombres;2019;1884
02;Albacete;Hombres;2018;1905
02;Albacete;Hombres;2017;1891
02;Albacete;Hombres;2016;1863
02;Albacete;Hombres;2015;1874
02;Albacete;Hombres;2014;1963
02;Albacete;Hombres;2013;1810
02;Albacete;Hombres;2012;1874
02;Albacete;Hombres;2011;1776
02;Albacete;Hombres;2010;1687
02;Albacete;Hombres;2009;1816
