Periodo;Nacimientos;Defunciones;Matrimonios;Población
2021;337380;450744;143515;47400798
2020;341315;493776;87481;47318050
2019;360617;418703;161389;46918951
2018;372777;427721;162743;46645070
2017;393181;424523;168989;46497393
2016;410583;410611;171023;46418884
2015;420290;422568;165172;46425722
2014;427595;395830;159279;46495744
2013;425715;390419;153375;46712650
2012;454648;402950;165101;46818216
2011;471999;387911;159798;46667175
2010;486575;382047;167247;46486621
2009;494997;384933;174062;46239271
2008;519779;386324;194022;45668938
2007;492527;385361;201579;44784659
2006;482957;371478;203453;44009969
2005;466371;387355;208146;43296335
2004;454591;371934;216149;42547454
2003;441881;384828;212300;41827836
2002;418846;368618;211522;41035271
2001;406380;360131;208057;40665545
2000;397632;360391;216451;40470182
1999;380130;371102;208129;40303568
1998;365193;360511;207041;40143449
1997;369035;349521;196499;39971329
1996;362626;351449;194084;39808374
1995;363469;346227;200688;39639726
1994;370148;338242;199731;39458489
1993;385786;339661;201463;39264034
1992;396747;331515;217512;39051336
1991;395989;337691;218121;38881416
1990;401425;333142;220533;38853227
1989;408434;324796;221470;38802300
1988;418919;319437;219027;38731578
1987;426782;310073;215771;38638052
1986;438750;310413;207929;38531195
1985;456298;312532;199658;38407829
1984;473281;299409;197542;38252899
1983;485352;302569;196155;38090151
1982;515706;286655;193319;37881873
1981;533008;293386;202037;37635389
1980;571018;289344;220674;37346940
1979;601992;291213;246349;37035719
1978;636892;296781;258070;36694077
1977;656357;294324;262015;36329199
1976;677456;299007;260974;35946425
1975;669378;298192;271347;35569375
