Codigo;Provincias;Periodo;Total
00;Total;2021;143515
00;Total;2020;87481
00;Total;2019;161389
00;Total;2018;162743
00;Total;2017;168989
00;Total;2016;171023
00;Total;2015;165172
00;Total;2014;159279
00;Total;2013;153375
00;Total;2012;165101
00;Total;2011;159798
00;Total;2010;167247
00;Total;2009;174062
00;Total;2008;194022
00;Total;2007;201579
00;Total;2006;203453
00;Total;2005;208146
00;Total;2004;216149
00;Total;2003;212300
00;Total;2002;211522
00;Total;2001;208057
00;Total;2000;216451
00;Total;1999;208129
00;Total;1998;207041
00;Total;1997;196499
00;Total;1996;194084
00;Total;1995;200688
00;Total;1994;199731
00;Total;1993;201463
00;Total;1992;217512
00;Total;1991;218121
00;Total;1990;220533
00;Total;1989;221470
00;Total;1988;219027
00;Total;1987;215771
00;Total;1986;207929
00;Total;1985;199658
00;Total;1984;197542
00;Total;1983;196155
00;Total;1982;193319
00;Total;1981;202037
00;Total;1980;220674
00;Total;1979;246349
00;Total;1978;258070
00;Total;1977;262015
00;Total;1976;260974
00;Total;1975;271347
02;Albacete;2021;1073
02;Albacete;2020;552
02;Albacete;2019;1203
02;Albacete;2018;1267
02;Albacete;2017;1367
02;Albacete;2016;1417
02;Albacete;2015;1344
02;Albacete;2014;1300
02;Albacete;2013;1191
02;Albacete;2012;1345
02;Albacete;2011;1309
02;Albacete;2010;1346
02;Albacete;2009;1399
02;Albacete;2008;1483
02;Albacete;2007;1628
02;Albacete;2006;1661
02;Albacete;2005;1720
02;Albacete;2004;1759
02;Albacete;2003;1783
02;Albacete;2002;1738
02;Albacete;2001;1769
02;Albacete;2000;1864
02;Albacete;1999;1872
02;Albacete;1998;1802
02;Albacete;1997;1784
02;Albacete;1996;1706
02;Albacete;1995;1844
02;Albacete;1994;1949
02;Albacete;1993;1963
02;Albacete;1992;1963
02;Albacete;1991;1915
02;Albacete;1990;1876
02;Albacete;1989;2190
02;Albacete;1988;2128
02;Albacete;1987;2089
02;Albacete;1986;2122
02;Albacete;1985;2066
02;Albacete;1984;2088
02;Albacete;1983;2194
02;Albacete;1982;1894
02;Albacete;1981;1946
02;Albacete;1980;2090
02;Albacete;1979;1998
02;Albacete;1978;1991
