Codigo;Provincias;Sexo;Periodo;Total
00;Total;Total;2021;337380
00;Total;Total;2020;341315
00;Total;Total;2019;360617
00;Total;Total;2018;372777
00;Total;Total;2017;393181
00;Total;Total;2016;410583
00;Total;Total;2015;420290
00;Total;Total;2014;427595
00;Total;Total;2013;425715
00;Total;Total;2012;454648
00;Total;Total;2011;471999
00;Total;Total;2010;486575
00;Total;Total;2009;494997
00;Total;Total;2008;519779
00;Total;Total;2007;492527
00;Total;Total;2006;482957
00;Total;Total;2005;466371
00;Total;Total;2004;454591
00;Total;Total;2003;441881
00;Total;Total;2002;418846
00;Total;Total;2001;406380
00;Total;Total;2000;397632
00;Total;Total;1999;380130
00;Total;Total;1998;365193
00;Total;Total;1997;369035
00;Total;Total;1996;362626
00;Total;Total;1995;363469
00;Total;Total;1994;370148
00;Total;Total;1993;385786
00;Total;Total;1992;396747
00;Total;Total;1991;395989
00;Total;Total;1990;401425
00;Total;Total;1989;408434
00;Total;Total;1988;418919
00;Total;Total;1987;426782
00;Total;Total;1986;438750
00;Total;Total;1985;456298
00;Total;Total;1984;473281
00;Total;Total;1983;485352
00;Total;Total;1982;515706
00;Total;Total;1981;533008
00;Total;Total;1980;571018
00;Total;Total;1979;601992
00;Total;Total;1978;636892
00;Total;Total;1977;656357
00;Total;Total;1976;677456
00;Total;Total;1975;669378
00;Total;Hombres;2021;174148
00;Total;Hombres;2020;174842
00;Total;Hombres;2019;185523
00;Total;Hombres;2018;191569
00;Total;Hombres;2017;202478
00;Total;Hombres;2016;211087
00;Total;Hombres;2015;216496
00;Total;Hombres;2014;220843
00;Total;Hombres;2013;219056
00;Total;Hombres;2012;234386
00;Total;Hombres;2011;243292
00;Total;Hombres;2010;250727
00;Total;Hombres;2009;255954
00;Total;Hombres;2008;268377
00;Total;Hombres;2007;253895
00;Total;Hombres;2006;249184
00;Total;Hombres;2005;240201
00;Total;Hombres;2004;234875
00;Total;Hombres;2003;227584
00;Total;Hombres;2002;215995
00;Total;Hombres;2001;208787
00;Total;Hombres;2000;205596
00;Total;Hombres;1999;195742
00;Total;Hombres;1998;188997
00;Total;Hombres;1997;190112
00;Total;Hombres;1996;186698
00;Total;Hombres;1995;187399
00;Total;Hombres;1994;191055
00;Total;Hombres;1993;199406
00;Total;Hombres;1992;204727
00;Total;Hombres;1991;204878
00;Total;Hombres;1990;207495
00;Total;Hombres;1989;211201
00;Total;Hombres;1988;216707
00;Total;Hombres;1987;221297
00;Total;Hombres;1986;227176
00;Total;Hombres;1985;236229
00;Total;Hombres;1984;246051
00;Total;Hombres;1983;251585
00;Total;Hombres;1982;268639
00;Total;Hombres;1981;278175
00;Total;Hombres;1980;296224
00;Total;Hombres;1979;310911
