cod_prov;prov;nameH;freqH;por1000H;nameM;freqM;por1000M
01;ARABA/ÁLAVA;IKER;512;36.7;UXUE;361;27.6
02;ALBACETE;ALEJANDRO;734;37.5;MARIA;922;49.8
03;ALICANTE/ALACANT;ALEJANDRO;3070;35.4;MARIA;3253;39.9
04;ALMERÍA;ALEJANDRO;1325;36.6;MARIA;1364;39.4
05;AVILA;DANIEL;249;40.1;LUCIA;298;51.9
06;BADAJOZ;ALEJANDRO;1393;41.6;MARIA;1681;52.7
07;BALEARS, ILLES;MARC;1541;29.4;MARIA;1680;33.9
08;BARCELONA;MARC;11239;40.3;PAULA;8466;32.2
09;BURGOS;ADRIAN;558;37.3;LUCIA;638;45
10;CÁCERES;ALEJANDRO;728;41.4;LUCIA;824;49.7
11;CÁDIZ;ALEJANDRO;3329;47.1;MARIA;3492;52.8
12;CASTELLÓN/CASTELLÓ;ALEJANDRO;778;27.6;MARIA;1086;40.6
13;CIUDAD REAL;JAVIER;865;35.3;MARIA;1097;47.7
14;CÓRDOBA;ALEJANDRO;1727;40.8;MARIA;2111;53.4
15;CORUÑA, A;PABLO;1733;39.2;LUCIA;1824;43.8
16;CUENCA;ALEJANDRO;292;36.7;MARIA;342;43.9
17;GIRONA;MARC;1455;40.1;JULIA;1068;31.2
18;GRANADA;ALEJANDRO;2163;44.4;MARIA;2249;48.7
19;GUADALAJARA;DANIEL;405;39.6;LUCIA;446;46.8
20;GIPUZKOA;IKER;1293;37.8;ANE;1234;38.5
21;HUELVA;ALEJANDRO;1313;47.5;MARIA;1454;56.3
22;HUESCA;PABLO;282;31.8;LUCIA;339;40.4
23;JAÉN;ALEJANDRO;1312;38.7;MARIA;1841;57.3
24;LEÓN;ALEJANDRO;686;40.3;LUCIA;896;55.2
25;LLEIDA;MARC;774;39.7;MARIA;658;35.6
26;RIOJA, LA;DAVID;437;31.2;LUCIA;577;43
27;LUGO;DAVID;408;39.4;LUCIA;450;45.2
28;MADRID;ALEJANDRO;13721;41.5;LUCIA;14620;46.9
29;MÁLAGA;ALEJANDRO;3473;42.1;MARIA;3630;46.6
30;MURCIA;ALEJANDRO;3202;38.5;MARIA;3846;49
31;NAVARRA;JAVIER;962;31;MARIA;720;24.4
32;OURENSE;PABLO;359;36.2;LUCIA;446;47.5
33;ASTURIAS;PABLO;1556;41.2;LUCIA;1893;53
34;PALENCIA;DANIEL;256;43.6;LUCIA;278;48.9
35;PALMAS, LAS;ALEJANDRO;1540;28.5;PAULA;1143;22.4
36;PONTEVEDRA;PABLO;1721;41.4;LUCIA;1632;41.7
37;SALAMANCA;PABLO;609;43.9;LUCIA;721;56.3
38;SANTA CRUZ DE TENERIFE;ALEJANDRO;1342;29.5;LUCIA;1128;26.5
39;CANTABRIA;PABLO;1072;43.1;LUCIA;1217;50.9
40;SEGOVIA;DANIEL;282;44.3;LUCIA;294;48
41;SEVILLA;ALEJANDRO;4823;43;MARIA;5762;54.4
42;SORIA;PABLO;127;36.4;MARIA;134;40.7
43;TARRAGONA;MARC;1363;35.6;PAULA;1123;31.2
44;TERUEL;JORGE;186;35;MARIA;202;39.6
45;TOLEDO;DANIEL;1143;38.4;LUCIA;1493;53.3
46;VALENCIA/VALÈNCIA;ALEJANDRO;4147;32.8;MARIA;4742;39.6
47;VALLADOLID;PABLO;946;41.1;LUCIA;1180;54.2
48;BIZKAIA;IKER;2001;39.2;ANE;1608;33.7
49;ZAMORA;ALEJANDRO;224;40.1;LUCIA;281;51.6
50;ZARAGOZA;DANIEL;1703;38.9;LUCIA;1795;43.8
51;CEUTA;MOHAMED;408;73.9;MARIAM;152;28.8
52;MELILLA;MOHAMED;415;73.1;SALMA;159;29.3
66;NACIDOS EN EL EXTRANJERO;MOHAMED;4217;14.7;SOFIA;1311;5
