Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;Total Nacional;1 de enero de 2022;47.432.893
Ambos sexos;Total;Total Nacional;1 de enero de 2021;47.398.695
Ambos sexos;Total;Total Nacional;1 de enero de 2020;47.332.614
Ambos sexos;Total;Total Nacional;1 de enero de 2019;46.937.060
Ambos sexos;Total;Total Nacional;1 de enero de 2018;46.658.447
Ambos sexos;Total;Total Nacional;1 de enero de 2017;46.527.039
Ambos sexos;Total;Total Nacional;1 de enero de 2016;46.440.099
Ambos sexos;Total;Total Nacional;1 de enero de 2015;46.449.565
Ambos sexos;Total;Total Nacional;1 de enero de 2014;46.512.199
Ambos sexos;Total;Total Nacional;1 de enero de 2013;46.727.890
Ambos sexos;Total;Total Nacional;1 de enero de 2012;46.818.216
Ambos sexos;Total;Total Nacional;1 de enero de 2011;46.667.175
Ambos sexos;Total;Total Nacional;1 de enero de 2010;46.486.621
Ambos sexos;Total;Total Nacional;1 de enero de 2009;46.239.271
Ambos sexos;Total;Total Nacional;1 de enero de 2008;45.668.938
Ambos sexos;Total;Total Nacional;1 de enero de 2007;44.784.659
Ambos sexos;Total;Total Nacional;1 de enero de 2006;44.009.969
Ambos sexos;Total;Total Nacional;1 de enero de 2005;43.296.335
Ambos sexos;Total;Total Nacional;1 de enero de 2004;42.547.454
Ambos sexos;Total;Total Nacional;1 de enero de 2003;41.827.836
Ambos sexos;Total;Total Nacional;1 de enero de 2002;41.035.271
Ambos sexos;Total;Total Nacional;1 de enero de 2001;40.665.545
Ambos sexos;Total;Total Nacional;1 de enero de 2000;40.470.182
Ambos sexos;Total;Total Nacional;1 de enero de 1999;40.303.568
Ambos sexos;Total;Total Nacional;1 de enero de 1998;40.143.449
Ambos sexos;Total;Total Nacional;1 de enero de 1997;39.971.329
Ambos sexos;Total;Total Nacional;1 de enero de 1996;39.808.374
Ambos sexos;Total;Total Nacional;1 de enero de 1995;39.639.726
Ambos sexos;Total;Total Nacional;1 de enero de 1994;39.458.489
Ambos sexos;Total;Total Nacional;1 de enero de 1993;39.264.034
Ambos sexos;Total;Total Nacional;1 de enero de 1992;39.051.336
Ambos sexos;Total;Total Nacional;1 de enero de 1991;38.881.416
Ambos sexos;Total;Total Nacional;1 de enero de 1990;38.853.227
Ambos sexos;Total;Total Nacional;1 de enero de 1989;38.802.300
Ambos sexos;Total;Total Nacional;1 de enero de 1988;38.731.578
Ambos sexos;Total;Total Nacional;1 de enero de 1987;38.638.052
Ambos sexos;Total;Total Nacional;1 de enero de 1986;38.531.195
Ambos sexos;Total;Total Nacional;1 de enero de 1985;38.407.829
Ambos sexos;Total;Total Nacional;1 de enero de 1984;38.252.899
Ambos sexos;Total;Total Nacional;1 de enero de 1983;38.090.151
Ambos sexos;Total;Total Nacional;1 de enero de 1982;37.881.873
Ambos sexos;Total;Total Nacional;1 de enero de 1981;37.635.389
Ambos sexos;Total;Total Nacional;1 de enero de 1980;37.346.940
Ambos sexos;Total;Total Nacional;1 de enero de 1979;37.035.719
