Edad;Sexo;Periodo;Total
Todas;Total;2023;48059777
Todas;Total;2022;47496903
Todas;Total;2021;47400798
Todas;Total;2020;47318050
Todas;Total;2019;46918951
Todas;Total;2018;46645070
Todas;Total;2017;46497393
Todas;Total;2016;46418884
Todas;Total;2015;46425722
Todas;Total;2014;46495744
Todas;Total;2013;46712650
Todas;Total;2012;46818216
Todas;Total;2011;46667175
Todas;Total;2010;46486621
Todas;Total;2009;46239271
Todas;Total;2008;45668938
Todas;Total;2007;44784659
Todas;Total;2006;44009969
Todas;Total;2005;43296335
Todas;Total;2004;42547454
Todas;Total;2003;41827836
Todas;Total;2002;41035271
Todas;Total;2001;40665545
Todas;Total;2000;40470182
Todas;Total;1999;40303568
Todas;Total;1998;40143449
Todas;Total;1997;39971329
Todas;Total;1996;39808374
Todas;Total;1995;39639726
Todas;Total;1994;39458489
Todas;Total;1993;39264034
Todas;Total;1992;39051336
Todas;Total;1991;38881416
Todas;Total;1990;38853227
Todas;Total;1989;38802300
Todas;Total;1988;38731578
Todas;Total;1987;38638052
Todas;Total;1986;38531195
Todas;Total;1985;38407829
Todas;Total;1984;38252899
Todas;Total;1983;38090151
Todas;Total;1982;37881873
Todas;Total;1981;37635389
Todas;Total;1980;37346940
Todas;Total;1979;37035719
Todas;Total;1978;36694077
Todas;Total;1977;36329199
Todas;Total;1976;35946425
Todas;Total;1975;35569375
Todas;Total;1974;35177294
Todas;Total;1973;34800600
Todas;Total;1972;34408338
Todas;Total;1971;34040642
Todas;Hombres;2023;23542333
Todas;Hombres;2022;23294003
Todas;Hombres;2021;23248611
Todas;Hombres;2020;23210668
Todas;Hombres;2019;23016783
Todas;Hombres;2018;22889600
Todas;Hombres;2017;22831107
Todas;Hombres;2016;22806445
Todas;Hombres;2015;22822721
Todas;Hombres;2014;22874710
Todas;Hombres;2013;23013226
Todas;Hombres;2012;23099009
Todas;Hombres;2011;23049476
Todas;Hombres;2010;22982272
Todas;Hombres;2009;22880534
Todas;Hombres;2008;22591484
Todas;Hombres;2007;22118970
Todas;Hombres;2006;21719317
Todas;Hombres;2005;21335283
Todas;Hombres;2004;20924581
Todas;Hombres;2003;20542468
Todas;Hombres;2002;20115522
Todas;Hombres;2001;19923892
Todas;Hombres;2000;19826339
Todas;Hombres;1999;19744257
Todas;Hombres;1998;19664565
Todas;Hombres;1997;19579778
Todas;Hombres;1996;19500458
Todas;Hombres;1995;19417999
Todas;Hombres;1994;19328299
Todas;Hombres;1993;19231389
Todas;Hombres;1992;19126029
Todas;Hombres;1991;19042818
Todas;Hombres;1990;19039785
Todas;Hombres;1989;19023679
Todas;Hombres;1988;18995710
Todas;Hombres;1987;18954956
Todas;Hombres;1986;18906124
Todas;Hombres;1985;18849258
Todas;Hombres;1984;18775089
Todas;Hombres;1983;18695393
Todas;Hombres;1982;18591423
Todas;Hombres;1981;18467449
Todas;Hombres;1980;18323513
Todas;Hombres;1979;18167281
Todas;Hombres;1978;17993218
Todas;Hombres;1977;17807322
Todas;Hombres;1976;17612561
Todas;Hombres;1975;17419371
Todas;Hombres;1974;17220063
Todas;Hombres;1973;17027972
Todas;Hombres;1972;16827942
Todas;Hombres;1971;16641744
Todas;Mujeres;2023;24517444
Todas;Mujeres;2022;24202900
Todas;Mujeres;2021;24152187
Todas;Mujeres;2020;24107382
Todas;Mujeres;2019;23902168
Todas;Mujeres;2018;23755470
Todas;Mujeres;2017;23666286
Todas;Mujeres;2016;23612439
Todas;Mujeres;2015;23603001
Todas;Mujeres;2014;23621034
Todas;Mujeres;2013;23699424
Todas;Mujeres;2012;23719207
Todas;Mujeres;2011;23617698
Todas;Mujeres;2010;23504349
Todas;Mujeres;2009;23358736
Todas;Mujeres;2008;23077454
Todas;Mujeres;2007;22665689
Todas;Mujeres;2006;22290652
Todas;Mujeres;2005;21961052
Todas;Mujeres;2004;21622873
Todas;Mujeres;2003;21285368
Todas;Mujeres;2002;20919749
Todas;Mujeres;2001;20741653
Todas;Mujeres;2000;20643843
Todas;Mujeres;1999;20559311
Todas;Mujeres;1998;20478884
Todas;Mujeres;1997;20391551
Todas;Mujeres;1996;20307916
Todas;Mujeres;1995;20221727
Todas;Mujeres;1994;20130190
Todas;Mujeres;1993;20032646
Todas;Mujeres;1992;19925307
Todas;Mujeres;1991;19838598
Todas;Mujeres;1990;19813442
Todas;Mujeres;1989;19778621
Todas;Mujeres;1988;19735868
Todas;Mujeres;1987;19683096
Todas;Mujeres;1986;19625072
Todas;Mujeres;1985;19558571
Todas;Mujeres;1984;19477809
Todas;Mujeres;1983;19394759
Todas;Mujeres;1982;19290449
Todas;Mujeres;1981;19167940
Todas;Mujeres;1980;19023427
Todas;Mujeres;1979;18868438
Todas;Mujeres;1978;18700859
Todas;Mujeres;1977;18521877
Todas;Mujeres;1976;18333864
Todas;Mujeres;1975;18150004
Todas;Mujeres;1974;17957230
Todas;Mujeres;1973;17772628
Todas;Mujeres;1972;17580397
Todas;Mujeres;1971;17398898
0;Total;2023;334923
0;Total;2022;341679
0;Total;2021;339465
0;Total;2020;360869
0;Total;2019;369475
0;Total;2018;391738
0;Total;2017;408346
0;Total;2016;418003
0;Total;2015;424910
0;Total;2014;423444
0;Total;2013;451972
0;Total;2012;475603
0;Total;2011;484004
0;Total;2010;493974
0;Total;2009;519525
0;Total;2008;493918
0;Total;2007;483683
0;Total;2006;466984
0;Total;2005;455204
0;Total;2004;443076
0;Total;2003;419433
0;Total;2002;411693
0;Total;2001;395790
0;Total;2000;379649
0;Total;1999;365367
0;Total;1998;367201
0;Total;1997;361026
0;Total;1996;362925
0;Total;1995;368535
0;Total;1994;384355
0;Total;1993;395547
0;Total;1992;390956
0;Total;1991;390639
0;Total;1990;401255
0;Total;1989;410145
0;Total;1988;420692
0;Total;1987;432682
0;Total;1986;451281
0;Total;1985;469612
0;Total;1984;480918
0;Total;1983;511235
0;Total;1982;549898
0;Total;1981;569802
0;Total;1980;592227
0;Total;1979;625320
0;Total;1978;644379
0;Total;1977;665373
0;Total;1976;659696
0;Total;1975;679664
0;Total;1974;666113
0;Total;1973;666068
0;Total;1972;663793
0;Total;1971;647443
0;Hombres;2023;173053
0;Hombres;2022;176396
0;Hombres;2021;173823
0;Hombres;2020;185523
0;Hombres;2019;189807
0;Hombres;2018;201635
0;Hombres;2017;209831
0;Hombres;2016;215208
0;Hombres;2015;219373
0;Hombres;2014;217832
0;Hombres;2013;233012
0;Hombres;2012;245029
0;Hombres;2011;249568
0;Hombres;2010;255371
0;Hombres;2009;268221
0;Hombres;2008;254589
0;Hombres;2007;249535
0;Hombres;2006;240395
0;Hombres;2005;235081
0;Hombres;2004;228104
0;Hombres;2003;216148
0;Hombres;2002;210646
0;Hombres;2001;204095
0;Hombres;2000;195125
0;Hombres;1999;188746
0;Hombres;1998;188953
0;Hombres;1997;185640
0;Hombres;1996;186960
0;Hombres;1995;190020
0;Hombres;1994;198441
0;Hombres;1993;203861
0;Hombres;1992;201958
0;Hombres;1991;200815
0;Hombres;1990;206812
0;Hombres;1989;211736
0;Hombres;1988;217443
0;Hombres;1987;223389
0;Hombres;1986;233146
0;Hombres;1985;243492
0;Hombres;1984;248739
0;Hombres;1983;265636
0;Hombres;1982;285634
0;Hombres;1981;293066
0;Hombres;1980;305127
0;Hombres;1979;323202
0;Hombres;1978;332203
0;Hombres;1977;342415
0;Hombres;1976;340627
0;Hombres;1975;348934
0;Hombres;1974;342402
0;Hombres;1973;342350
0;Hombres;1972;341276
0;Hombres;1971;332704
0;Mujeres;2023;161870
0;Mujeres;2022;165283
0;Mujeres;2021;165642
0;Mujeres;2020;175346
0;Mujeres;2019;179668
0;Mujeres;2018;190103
0;Mujeres;2017;198515
0;Mujeres;2016;202795
0;Mujeres;2015;205537
0;Mujeres;2014;205612
0;Mujeres;2013;218960
0;Mujeres;2012;230574
0;Mujeres;2011;234436
0;Mujeres;2010;238603
0;Mujeres;2009;251304
0;Mujeres;2008;239328
0;Mujeres;2007;234149
0;Mujeres;2006;226589
0;Mujeres;2005;220123
0;Mujeres;2004;214972
0;Mujeres;2003;203286
0;Mujeres;2002;201047
0;Mujeres;2001;191695
0;Mujeres;2000;184524
0;Mujeres;1999;176622
0;Mujeres;1998;178247
0;Mujeres;1997;175387
0;Mujeres;1996;175965
0;Mujeres;1995;178515
0;Mujeres;1994;185914
0;Mujeres;1993;191686
0;Mujeres;1992;188998
0;Mujeres;1991;189824
0;Mujeres;1990;194443
0;Mujeres;1989;198409
0;Mujeres;1988;203249
0;Mujeres;1987;209293
0;Mujeres;1986;218135
0;Mujeres;1985;226121
0;Mujeres;1984;232179
0;Mujeres;1983;245599
0;Mujeres;1982;264265
0;Mujeres;1981;276735
0;Mujeres;1980;287099
0;Mujeres;1979;302118
0;Mujeres;1978;312176
0;Mujeres;1977;322957
0;Mujeres;1976;319070
0;Mujeres;1975;330730
0;Mujeres;1974;323711
0;Mujeres;1973;323719
0;Mujeres;1972;322517
0;Mujeres;1971;314740
1;Total;2023;349816
1;Total;2022;344695
1;Total;2021;365236
1;Total;2020;374063
1;Total;2019;396241
1;Total;2018;413253
1;Total;2017;420930
1;Total;2016;427184
1;Total;2015;424800
1;Total;2014;451484
1;Total;2013;474677
1;Total;2012;483549
1;Total;2011;494927
1;Total;2010;520785
1;Total;2009;498194
1;Total;2008;490146
1;Total;2007;473622
1;Total;2006;461565
1;Total;2005;448587
1;Total;2004;425499
1;Total;2003;417815
1;Total;2002;398110
1;Total;2001;381203
1;Total;2000;367441
1;Total;1999;367272
1;Total;1998;361471
1;Total;1997;363678
1;Total;1996;368962
1;Total;1995;384692
1;Total;1994;396256
1;Total;1993;391799
1;Total;1992;390592
1;Total;1991;396615
1;Total;1990;404169
1;Total;1989;417583
1;Total;1988;429817
1;Total;1987;449343
1;Total;1986;469656
1;Total;1985;480765
1;Total;1984;511275
1;Total;1983;547894
1;Total;1982;569351
1;Total;1981;589396
1;Total;1980;621851
1;Total;1979;641008
1;Total;1978;662489
1;Total;1977;659461
1;Total;1976;675750
1;Total;1975;658990
1;Total;1974;659007
1;Total;1973;655774
1;Total;1972;640493
1;Total;1971;628825
1;Hombres;2023;180514
1;Hombres;2022;176533
1;Hombres;2021;187777
1;Hombres;2020;192118
1;Hombres;2019;204031
1;Hombres;2018;212383
1;Hombres;2017;216643
1;Hombres;2016;220536
1;Hombres;2015;218499
1;Hombres;2014;232780
1;Hombres;2013;244567
1;Hombres;2012;249398
1;Hombres;2011;255870
1;Hombres;2010;268851
1;Hombres;2009;256772
1;Hombres;2008;252739
1;Hombres;2007;243405
1;Hombres;2006;237895
1;Hombres;2005;230517
1;Hombres;2004;219087
1;Hombres;2003;213649
1;Hombres;2002;204828
1;Hombres;2001;195622
1;Hombres;2000;189537
1;Hombres;1999;188840
1;Hombres;1998;185743
1;Hombres;1997;187243
1;Hombres;1996;190139
1;Hombres;1995;198483
1;Hombres;1994;204089
1;Hombres;1993;202286
1;Hombres;1992;200588
1;Hombres;1991;203826
1;Hombres;1990;208275
1;Hombres;1989;215361
1;Hombres;1988;221448
1;Hombres;1987;231816
1;Hombres;1986;243032
1;Hombres;1985;248322
1;Hombres;1984;265222
1;Hombres;1983;284204
1;Hombres;1982;292418
1;Hombres;1981;303339
1;Hombres;1980;321230
1;Hombres;1979;330290
1;Hombres;1978;340929
1;Hombres;1977;340320
1;Hombres;1976;347125
1;Hombres;1975;338580
1;Hombres;1974;338233
1;Hombres;1973;336914
1;Hombres;1972;328668
1;Hombres;1971;322690
1;Mujeres;2023;169302
1;Mujeres;2022;168162
1;Mujeres;2021;177459
1;Mujeres;2020;181945
1;Mujeres;2019;192210
1;Mujeres;2018;200870
1;Mujeres;2017;204287
1;Mujeres;2016;206648
1;Mujeres;2015;206301
1;Mujeres;2014;218704
1;Mujeres;2013;230110
1;Mujeres;2012;234151
1;Mujeres;2011;239057
1;Mujeres;2010;251934
1;Mujeres;2009;241422
1;Mujeres;2008;237407
1;Mujeres;2007;230217
1;Mujeres;2006;223669
1;Mujeres;2005;218070
1;Mujeres;2004;206412
1;Mujeres;2003;204166
1;Mujeres;2002;193282
1;Mujeres;2001;185581
1;Mujeres;2000;177904
1;Mujeres;1999;178432
1;Mujeres;1998;175727
1;Mujeres;1997;176435
1;Mujeres;1996;178823
1;Mujeres;1995;186209
1;Mujeres;1994;192167
1;Mujeres;1993;189513
1;Mujeres;1992;190004
1;Mujeres;1991;192789
1;Mujeres;1990;195894
1;Mujeres;1989;202222
1;Mujeres;1988;208370
1;Mujeres;1987;217527
1;Mujeres;1986;226624
1;Mujeres;1985;232444
1;Mujeres;1984;246053
1;Mujeres;1983;263690
1;Mujeres;1982;276932
1;Mujeres;1981;286057
1;Mujeres;1980;300621
1;Mujeres;1979;310718
1;Mujeres;1978;321560
1;Mujeres;1977;319140
1;Mujeres;1976;328625
1;Mujeres;1975;320410
1;Mujeres;1974;320774
1;Mujeres;1973;318860
1;Mujeres;1972;311825
1;Mujeres;1971;306134
2;Total;2023;349044
2;Total;2022;366835
2;Total;2021;376033
2;Total;2020;402245
2;Total;2019;418510
2;Total;2018;425295
2;Total;2017;429017
2;Total;2016;425175
2;Total;2015;451086
2;Total;2014;471029
2;Total;2013;481249
2;Total;2012;494158
2;Total;2011;520875
2;Total;2010;499803
2;Total;2009;494118
2;Total;2008;480228
2;Total;2007;468036
2;Total;2006;454642
2;Total;2005;430777
2;Total;2004;424037
2;Total;2003;406441
2;Total;2002;384738
2;Total;2001;369739
2;Total;2000;367587
2;Total;1999;362151
2;Total;1998;364683
2;Total;1997;369646
2;Total;1996;385343
2;Total;1995;397348
2;Total;1994;392994
2;Total;1993;392577
2;Total;1992;397716
2;Total;1991;398517
2;Total;1990;414876
2;Total;1989;427414
2;Total;1988;447948
2;Total;1987;470239
2;Total;1986;481131
2;Total;1985;511899
2;Total;1984;546449
2;Total;1983;568909
2;Total;1982;589416
2;Total;1981;619341
2;Total;1980;638742
2;Total;1979;660731
2;Total;1978;660599
2;Total;1977;673422
2;Total;1976;658481
2;Total;1975;659342
2;Total;1974;655348
2;Total;1973;641977
2;Total;1972;630603
2;Total;1971;635129
2;Hombres;2023;178669
2;Hombres;2022;188578
2;Hombres;2021;193033
2;Hombres;2020;207192
2;Hombres;2019;215125
2;Hombres;2018;218879
2;Hombres;2017;221449
2;Hombres;2016;218719
2;Hombres;2015;232496
2;Hombres;2014;242703
2;Hombres;2013;248185
2;Hombres;2012;255532
2;Hombres;2011;268942
2;Hombres;2010;257612
2;Hombres;2009;254729
2;Hombres;2008;246660
2;Hombres;2007;241057
2;Hombres;2006;233347
2;Hombres;2005;221645
2;Hombres;2004;216810
2;Hombres;2003;209078
2;Hombres;2002;197159
2;Hombres;2001;190438
2;Hombres;2000;188853
2;Hombres;1999;185968
2;Hombres;1998;187659
2;Hombres;1997;190386
2;Hombres;1996;198701
2;Hombres;1995;204528
2;Hombres;1994;202814
2;Hombres;1993;201608
2;Hombres;1992;204296
2;Hombres;1991;205013
2;Hombres;1990;213509
2;Hombres;1989;219763
2;Hombres;1988;230790
2;Hombres;1987;242888
2;Hombres;1986;248190
2;Hombres;1985;265110
2;Hombres;1984;283091
2;Hombres;1983;292081
2;Hombres;1982;303135
2;Hombres;1981;319810
2;Hombres;1980;329002
2;Hombres;1979;340079
2;Hombres;1978;340837
2;Hombres;1977;346168
2;Hombres;1976;338572
2;Hombres;1975;338410
2;Hombres;1974;336865
2;Hombres;1973;329491
2;Hombres;1972;323587
2;Hombres;1971;326470
2;Mujeres;2023;170375
2;Mujeres;2022;178257
2;Mujeres;2021;183000
2;Mujeres;2020;195053
2;Mujeres;2019;203385
2;Mujeres;2018;206416
2;Mujeres;2017;207568
2;Mujeres;2016;206456
2;Mujeres;2015;218590
2;Mujeres;2014;228326
2;Mujeres;2013;233064
2;Mujeres;2012;238626
2;Mujeres;2011;251933
2;Mujeres;2010;242192
2;Mujeres;2009;239389
2;Mujeres;2008;233568
2;Mujeres;2007;226979
2;Mujeres;2006;221295
2;Mujeres;2005;209131
2;Mujeres;2004;207227
2;Mujeres;2003;197363
2;Mujeres;2002;187579
2;Mujeres;2001;179301
2;Mujeres;2000;178734
2;Mujeres;1999;176183
2;Mujeres;1998;177024
2;Mujeres;1997;179260
2;Mujeres;1996;186642
2;Mujeres;1995;192820
2;Mujeres;1994;190180
2;Mujeres;1993;190969
2;Mujeres;1992;193421
2;Mujeres;1991;193504
2;Mujeres;1990;201367
2;Mujeres;1989;207651
2;Mujeres;1988;217158
2;Mujeres;1987;227351
2;Mujeres;1986;232941
2;Mujeres;1985;246789
2;Mujeres;1984;263359
2;Mujeres;1983;276828
2;Mujeres;1982;286281
2;Mujeres;1981;299531
2;Mujeres;1980;309740
2;Mujeres;1979;320652
2;Mujeres;1978;319761
2;Mujeres;1977;327254
2;Mujeres;1976;319908
2;Mujeres;1975;320932
2;Mujeres;1974;318482
2;Mujeres;1973;312486
2;Mujeres;1972;307016
2;Mujeres;1971;308660
3;Total;2023;377336
3;Total;2022;380282
3;Total;2021;404168
3;Total;2020;424341
3;Total;2019;430054
3;Total;2018;432794
3;Total;2017;426833
3;Total;2016;451942
3;Total;2015;470058
3;Total;2014;479413
3;Total;2013;492586
3;Total;2012;521121
3;Total;2011;501253
3;Total;2010;496164
3;Total;2009;484408
3;Total;2008;475054
3;Total;2007;461358
3;Total;2006;436171
3;Total;2005;429195
3;Total;2004;414087
3;Total;2003;393825
3;Total;2002;373697
3;Total;2001;367937
3;Total;2000;362863
3;Total;1999;365718
3;Total;1998;370382
3;Total;1997;385998
3;Total;1996;398494
3;Total;1995;394258
3;Total;1994;394623
3;Total;1993;399942
3;Total;1992;399806
3;Total;1991;412231
3;Total;1990;425084
3;Total;1989;446618
3;Total;1988;470910
3;Total;1987;481597
3;Total;1986;512669
3;Total;1985;545156
3;Total;1984;568633
3;Total;1983;590063
3;Total;1982;619747
3;Total;1981;636689
3;Total;1980;659213
3;Total;1979;661928
3;Total;1978;671200
3;Total;1977;658187
3;Total;1976;659916
3;Total;1975;655226
3;Total;1974;643692
3;Total;1973;632680
3;Total;1972;636451
3;Total;1971;651761
3;Hombres;2023;193878
3;Hombres;2022;195200
3;Hombres;2021;208213
3;Hombres;2020;218199
3;Hombres;2019;221245
3;Hombres;2018;223326
3;Hombres;2017;219572
3;Hombres;2016;232934
3;Hombres;2015;242272
3;Hombres;2014;247184
3;Hombres;2013;254691
3;Hombres;2012;269087
3;Hombres;2011;258553
3;Hombres;2010;255705
3;Hombres;2009;248895
3;Hombres;2008;244702
3;Hombres;2007;236675
3;Hombres;2006;224345
3;Hombres;2005;219513
3;Hombres;2004;212962
3;Hombres;2003;201785
3;Hombres;2002;192270
3;Hombres;2001;188877
3;Hombres;2000;186218
3;Hombres;1999;188088
3;Hombres;1998;190664
3;Hombres;1997;198909
3;Hombres;1996;205003
3;Hombres;1995;203380
3;Hombres;1994;202660
3;Hombres;1993;205427
3;Hombres;1992;205599
3;Hombres;1991;211688
3;Hombres;1990;218115
3;Hombres;1989;229794
3;Hombres;1988;242801
3;Hombres;1987;248101
3;Hombres;1986;265076
3;Hombres;1985;282056
3;Hombres;1984;291858
3;Hombres;1983;303278
3;Hombres;1982;319782
3;Hombres;1981;327820
3;Hombres;1980;339325
3;Hombres;1979;341425
3;Hombres;1978;345246
3;Hombres;1977;338686
3;Hombres;1976;338724
3;Hombres;1975;336963
3;Hombres;1974;330431
3;Hombres;1973;324653
3;Hombres;1972;327023
3;Hombres;1971;333130
3;Mujeres;2023;183458
3;Mujeres;2022;185082
3;Mujeres;2021;195955
3;Mujeres;2020;206142
